smiles	valid_action_count	positive_delta_count	positive_action_fraction	best_delta_qed
N#Cc1ccc(CS(=O)(=O)CC(=O)O)cc1	3	2	0.6666666666666666	0.01614088405605163
O=C(O)c1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1O	2	2	1.0	0.07009243991460923
N#CCC=CCCl	1	1	1.0	0.11910179000071419
Cc1cccc2c1NC(=O)C2CCN	1	0	0.0	-0.011573089527709968
COc1ccccc1I	1	0	0.0	-0.09506025588437339
O=C(Nc1ccc(F)cc1F)c1ccccc1I	1	1	1.0	0.08738159267304146
NCc1cn2cc(Br)ccc2n1	1	0	0.0	-0.11803795077207824
NCCN1CCC2(C1)OCCO2	1	0	0.0	-0.08839517573522171
CCOC(=O)c1[nH]c2ccc(Cl)cc2c1C=O	1	0	0.0	-0.015117374063284061
[N-]=[N+]=NC1CCCC1O	2	0	0.0	-0.056920972653246804
Cn1cc([C@@H]2OCCC[C@H]2C(=O)O)nn1	3	2	0.6666666666666666	0.05412600738697393
NCc1cccnc1	1	0	0.0	-0.07886264515420349
CCOc1ccc(-n2c(S)nnc2-c2ccc(Br)cc2)cc1	1	1	1.0	0.05969271734318904
CN[C@@H]1COc2ccccc2[C@H](O)C1	2	2	1.0	0.0780946439857958
Cc1ccc(N[C@@H]2CC[C@H](C(=O)O)C2)nc1	3	2	0.6666666666666666	0.024091844323960276
COC(=O)c1cc(S(=O)(=O)Cl)ccc1O	2	0	0.0	-0.008148462517094113
Cc1cc(C)c(O)c(N)c1	2	2	1.0	0.21870484426538905
Cc1c(-c2cc(C(F)(F)F)nn2CCCN)cnn1C	1	0	0.0	-0.06544167990518535
CCNCC(O)c1ccc(C)cc1	2	1	0.5	0.06388776216172065
COc1cc(CCN)cc(OC)c1OCC(C)C	1	0	0.0	-0.03185330703394407
COCC1(C(=O)O)CN(C(=O)OC(C)(C)C)CCO1	1	0	0.0	-0.08056753634508074
Cc1ccc(C(=O)O)cc1I	1	0	0.0	-0.10879472751280872
CC(O)CNS(=O)(=O)c1ccc(C(=O)O)cc1	2	2	1.0	0.11130267353783352
CC(C)(Cc1ccccc1)C(=O)O	1	0	0.0	-0.09122943666641381
OC1(c2ccc(F)cc2)CC1	2	0	0.0	-0.019549796469742975
Cc1c[nH]c2cc(O)ccc12	2	2	1.0	0.09816190017845094
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1Cl	1	0	0.0	-0.008013740316972218
Cc1ccc(NC(=O)COc2ccc(CCN)cc2)cc1	1	1	1.0	0.05873499596407772
O=C(O)C(F)(F)C(F)(F)F	1	0	0.0	-0.14466818373019874
CNc1ccccc1Br	1	0	0.0	-0.08026505590774946
NCC(CCO)c1ccc(C(F)(F)F)cc1	3	2	0.6666666666666666	0.02906061499340795
CN1CCn2c(CN)nnc2C1=O	1	0	0.0	-0.06999443465952193
NCCCCN1CCCC1	1	0	0.0	-0.03794518591796181
Nc1cc(Cl)ccc1N1CCOCC1	1	0	0.0	-0.030521559337976845
O=C(O)C(=O)CCc1ccc(Cl)cc1	1	0	0.0	-0.03215914273425258
O=C(O)Cc1cc(F)ccc1F	3	2	0.6666666666666666	0.08456075809786545
CC(O)C12CC(CO1)C2	2	1	0.5	0.016915772712185473
NCc1nc(N)n[nH]1	1	1	1.0	0.030399660631866277
NCCn1cncc1C(=O)O	1	1	1.0	0.031396365621856215
CC(C)(C)OCCCCN	1	0	0.0	-0.045180476666349056
Clc1ccc2c(c1)C(NC1CC1)CCCO2	1	0	0.0	-0.0067399660149780605
Cc1cccc(N)c1Br	1	0	0.0	-0.07500730914570475
Cc1cc(Br)ccc1NN	1	0	0.0	-0.07612113731032094
Cc1cc(C)c(C(N)C(=O)O)cc1C	1	1	1.0	0.012825934729153055
Nc1cc(Br)cc(Cl)c1O	3	2	0.6666666666666666	0.050339536206729374
NC(=O)C1CCCC(C(=O)O)C1	3	3	1.0	0.08446078929011203
Cc1nc(CO)ncc1N	3	2	0.6666666666666666	0.1294950659433458
Cc1c(NS(=O)(=O)c2cc(C(=O)O)c(Cl)cc2Cl)c(=O)n(-c2ccccc2)n1C	1	1	1.0	0.005477256380099105
N#CCc1nc(N)c2ccccc2n1	1	0	0.0	-0.07141560506912425
O=C(NC1CC1)c1ccc(O)cc1	2	2	1.0	0.129442174923874
Cc1cc(Cl)ncc1O	2	1	0.5	0.03333568140071397
CC(=O)OC(C)(C)C(=O)O	1	0	0.0	-0.11950171812018529
CC1(C(=O)O)CCC(F)(F)C1	1	0	0.0	-0.0721424351172334
N#CC(C(=O)c1ccccc1)c1ccccc1	1	0	0.0	-0.013443535005144613
CC(C)(CN)c1ccccc1	1	0	0.0	-0.0875376758416474
Cc1ncc(O)cc1Br	2	1	0.5	0.01683763853044673
Oc1ccccc1CNC1CC1	2	2	1.0	0.12530204513598642
CC1CC(CC(=O)O)CC(C)(C)C1	3	2	0.6666666666666666	0.05991318418480096
Cc1c(C(=O)CC#N)cnn1C	1	1	1.0	0.08777367013721282
Nc1c(O)cccc1S(N)(=O)=O	2	2	1.0	0.3070416764309871
N#Cc1ccc(N2CCC(O)C2)cc1	2	0	0.0	-0.001312953965689423
O=C(O)CN[C@@H]1CS(=O)(=O)C[C@H]1O	5	3	0.6	0.17058123198817232
O=C(O)C1(c2cc(F)cc(F)c2)CCCC1	1	0	0.0	-0.11387923886274465
FC(F)Oc1cccc(Br)c1	1	0	0.0	-0.0689330267536502
CC[C@H](O)c1cccc([N+](=O)[O-])c1	2	0	0.0	-0.10887396706638602
COCC(O)C(C)C	2	1	0.5	0.015913910558102318
COC(=O)Cn1cc(CCN)nn1	3	0	0.0	-0.0009084617904945302
CC(C)(C)OC(=O)N[C@H]1C[C@@](F)(CN)C1	1	0	0.0	-0.010029371609513893
CC1(C)COCC(CN)O1	1	0	0.0	-0.07202487582092754
CC1C(=O)CCC1CC(=O)O	3	2	0.6666666666666666	0.08633373043176573
O=C(O)COc1ccc2c(c1)CCC(=O)N2	3	3	1.0	0.03500979899847123
CN(C(=O)c1ccc(Cl)cc1)[C@H]1CC[C@H](c2ccc(N)cc2)CC1	1	1	1.0	0.04483145220661977
CC(=O)C(C)=NNC(=O)CC#N	1	1	1.0	0.006183020655665172
O=C(O)Cc1ccc2c(c1)CCO2	3	2	0.6666666666666666	0.0845607499091362
N#Cc1cn(CCN)c(=O)[nH]c1=O	1	1	1.0	0.018622836810218812
COCCOCCOCCOc1ccc(O)cc1	2	0	0.0	-0.020956883382706737
CN1CC(O)CC1=O	2	1	0.5	0.04828062299219732
